,time,posEst_J_0,posEst_J_1,posEst_J_2,velEst_J_0,velEst_J_1,velEst_J_2,angRateEst_LI_L_0,angRateEst_LI_L_1,angRateEst_LI_L_2
25,12.5,-1269117.7535394232,6646534.313859888,1193017.5087920148,-7519.459019861218,-1431.4179638010908,-18.32586635929265,0.0,-0.0010919478928666927,0.0
26,13.0,-1272877.0924060566,6645816.563207495,1193007.9793654226,-7518.676963415932,-1435.501157465053,-19.058851174030185,0.0,-0.0010919489144349595,0.0
27,13.5,-1276636.0390895915,6645096.771178733,1192998.083449345,-7517.892597301571,-1439.583909773218,-19.791830067569308,0.0,-0.0010919499360035607,0.0
28,14.0,-1280394.592435317,6644374.937994924,1192987.8210468588,-7517.105921766042,-1443.6662194337353,-20.52480280799187,0.0,-0.001091950957572481,0.0
29,14.5,-1284152.751288647,6643651.063878041,1192977.192161156,-7516.3169370580235,-1447.7480851549037,-21.257769163382072,0.0,-0.001091951979141707,0.0
30,15.0,-1287910.5144951197,6642925.149050697,1192966.1967955455,-7515.525643426967,-1451.8295056451725,-21.990728901826564,0.0,-0.0010919530007112246,0.0
31,15.5,-1291667.8809003984,6642197.193736154,1192954.8349534515,-7514.732041123098,-1455.910479613142,-22.72368179141452,0.0,-0.001091954022281019,0.0
32,16.0,-1295424.8493502722,6641467.198158318,1192943.1066384143,-7513.936130397413,-1459.9910057675634,-23.456627600237734,0.0,-0.0010919550438510766,0.0
33,16.5,-1299181.418690656,6640735.162541742,1192931.0118540905,-7513.1379115016825,-1464.07108281734,-24.189566096390696,0.0,-0.0010919560654213828,0.0
34,17.0,-1302937.587767591,6640001.087111624,1192918.5506042521,-7512.337384688448,-1468.1507094715275,-24.922497047970683,0.0,-0.001091957086991924,0.0
35,17.5,-1306693.355427245,6639264.972093807,1192905.7228927878,-7511.534550211024,-1472.2298844393338,-25.655420223077847,0.0,-0.0010919581085626865,0.0
36,18.0,-1310448.7205159126,6638526.817714779,1192892.5287237014,-7510.729408323497,-1476.3086064301203,-26.3883353898153,0.0,-0.0010919591301336545,0.0
37,18.5,-1314203.681880016,6637786.624201674,1192878.968101113,-7509.921959280728,-1480.3868741534022,-27.121242316289194,0.0,-0.0010919601517048146,0.0
38,19.0,-1317958.2383661056,6637044.391782272,1192865.0410292589,-7509.112203338344,-1484.4646863188486,-27.85414077060882,0.0,-0.0010919611732761536,0.0
39,19.5,-1321712.3888208594,6636300.120684996,1192850.747512491,-7508.300140752752,-1488.5420416362833,-28.587030520886678,0.0,-0.0010919621948476549,0.0
40,20.0,-1325466.1320910845,6635553.811138916,1192836.0875552772,-7507.485771781124,-1492.6189388156854,-29.31991133523858,0.0,-0.0010919632164193053,0.0
41,20.5,-1329219.4670237165,6634805.463373745,1192821.0611622015,-7506.669096681406,-1496.6953765671894,-30.052782981783714,0.0,-0.0010919642379910923,0.0
42,21.0,-1332972.3924658208,6634055.077619842,1192805.6683379638,-7505.850115712317,-1500.771353601086,-30.785645228644757,0.0,-0.0010919652595630005,0.0
43,21.5,-1336724.907264592,6633302.654108211,1192789.9090873797,-7505.028829133346,-1504.8468686278222,-31.518497843947937,0.0,-0.0010919662811350159,0.0
44,22.0,-1340477.0102673552,6632548.1930705,1192773.783415381,-7504.205237204755,-1508.9219203580024,-32.25134059582314,0.0,-0.001091967302707124,0.0
45,22.5,-1344228.7003215663,6631791.694739002,1192757.2913270155,-7503.379340187574,-1512.996507502388,-32.98417325240397,0.0,-0.001091968324279312,0.0
46,23.0,-1347979.9762748117,6631033.159346654,1192740.4328274466,-7502.551138343608,-1517.0706287718992,-33.71699558182786,0.0,-0.0010919693458515632,0.0
47,23.5,-1351730.836974809,6630272.587127038,1192723.2079219539,-7501.720631935431,-1521.144282877614,-34.44980735223615,0.0,-0.0010919703674238663,0.0
48,24.0,-1355481.2812694076,6629509.978314381,1192705.6166159327,-7500.887821226389,-1525.217468530769,-35.18260833177417,0.0,-0.0010919713889962046,0.0
49,24.5,-1359231.308006589,6628745.333143554,1192687.6589148943,-7500.052706480597,-1529.2901844427613,-35.91539828859132,0.0,-0.0010919724105685651,0.0
50,25.0,-1362980.9160344675,6627978.65185007,1192669.3348244664,-7499.215287962944,-1533.3624293251469,-36.64817699084117,0.0,-0.0010919734321409352,0.0
51,25.5,-1366730.1042012896,6627209.93467009,1192650.6443503918,-7498.375565939086,-1537.4342018896425,-37.38094420668155,0.0,-0.001091974453713298,0.0
52,26.0,-1370478.871355435,6626439.181840415,1192631.5874985298,-7497.533540675454,-1541.505500848126,-38.113699704274595,0.0,-0.0010919754752856405,0.0
53,26.5,-1374227.216345418,6625666.393598494,1192612.1642748555,-7496.689212439245,-1545.5763249126362,-38.84644325178689,0.0,-0.0010919764968579484,0.0
54,27.0,-1377975.1380198856,6624891.5701824175,1192592.3746854598,-7495.842581498429,-1549.6466727953737,-39.579174617389505,0.0,-0.0010919775184302075,0.0
55,27.5,-1381722.63522762,6624114.71183092,1192572.2187365494,-7494.9936481217455,-1553.7165432087013,-40.311893569258125,0.0,-0.001091978540002405,0.0
56,28.0,-1385469.7068175375,6623335.818783378,1192551.696434447,-7494.142412578704,-1557.785934865145,-41.0445998755731,0.0,-0.001091979561574525,0.0
57,28.5,-1389216.3516386903,6622554.891279817,1192530.8077855918,-7493.288875139586,-1561.8548464773937,-41.777293304519546,0.0,-0.0010919805831465532,0.0
58,29.0,-1392962.5685402658,6621771.9295609,1192509.552796538,-7492.433036075439,-1565.9232767582998,-42.50997362428743,0.0,-0.001091981604718477,0.0
59,29.5,-1396708.356371587,6620986.933867937,1192487.9314739562,-7491.574895658085,-1569.9912244208804,-43.24264060307166,0.0,-0.0010919826262902816,0.0
60,30.0,-1400453.7139821136,6620199.904442881,1192465.9438246328,-7490.714454160111,-1574.058688178317,-43.97529400907217,0.0,-0.0010919836478619533,0.0
61,30.5,-1404198.6402214419,6619410.841528328,1192443.58985547,-7489.851711854878,-1578.125666743956,-44.707933610494,0.0,-0.001091984669433478,0.0
62,31.0,-1407943.133939305,6618619.745367518,1192420.869573486,-7488.9866690165145,-1582.1921588313096,-45.44055917554738,0.0,-0.0010919856910048388,0.0
63,31.5,-1411687.193985574,6617826.616204332,1192397.782985815,-7488.119325919918,-1586.2581631540563,-46.173170472447815,0.0,-0.0010919867125760245,0.0
64,32.0,-1415430.8192102571,6617031.454283295,1192374.330099707,-7487.249682840757,-1590.3236784260407,-46.905767269416195,0.0,-0.0010919877341470207,0.0
65,32.5,-1419174.0084635015,6616234.259849576,1192350.5109225276,-7486.377740055466,-1594.3887033612748,-47.63834933467885,0.0,-0.0010919887557178122,0.0
66,33.0,-1422916.7605955922,6615435.033148987,1192326.3254617588,-7485.503497841252,-1598.4532366739381,-48.37091643646765,0.0,-0.0010919897772883845,0.0
67,33.5,-1426659.074456954,6614633.774427981,1192301.7737249979,-7484.6269564760905,-1602.517277078378,-49.103468343020104,0.0,-0.0010919907988587256,0.0
68,34.0,-1430400.9488981504,6613830.483933656,1192276.8557199587,-7483.748116238724,-1606.58082328911,-49.836004822579405,0.0,-0.00109199182042882,0.0
69,34.5,-1434142.382769885,6613025.16191375,1192251.5714544703,-7482.866977408665,-1610.643874020819,-50.56852564339456,0.0,-0.0010919928419986535,0.0
70,35.0,-1437883.3749230015,6612217.808616647,1192225.9209364783,-7481.983540266194,-1614.7064279883596,-51.30103057372045,0.0,-0.0010919938635682118,0.0
71,35.5,-1441623.9242084841,6611408.4242913695,1192199.9041740436,-7481.097805092361,-1618.7684839067554,-52.033519381817946,0.0,-0.0010919948851374818,0.0
72,36.0,-1445364.0294774577,6610597.009187587,1192173.521175343,-7480.209772168985,-1622.8300404912009,-52.76599183595394,0.0,-0.0010919959067064475,0.0
73,36.5,-1449103.689581189,6609783.563555607,1192146.7719486698,-7479.319441778652,-1626.8910964570614,-53.498447704401485,0.0,-0.0010919969282750974,0.0
74,37.0,-1452842.9033710859,6608968.087646381,1192119.6565024324,-7478.426814204715,-1630.9516505198735,-54.230886755439855,0.0,-0.0010919979498434148,0.0
75,37.5,-1456581.6696986984,6608150.581711504,1192092.1748451553,-7477.531889731298,-1635.0117013953457,-54.96330875735463,0.0,-0.0010919989714113872,0.0
76,38.0,-1460319.9874157195,6607331.04600321,1192064.326985479,-7476.634668643292,-1639.0712477993584,-55.6957134784378,0.0,-0.0010919999929789998,0.0
77,38.5,-1464057.8553739842,6606509.480774379,1192036.11293216,-7475.735151226354,-1643.130288447965,-56.42810068698784,0.0,-0.0010920010145462388,0.0
78,39.0,-1467795.2724254713,6605685.88627853,1192007.5326940701,-7474.833337766912,-1647.1888220573924,-57.160470151309774,0.0,-0.0010920020361130896,0.0
79,39.5,-1471532.237422303,6604860.262769822,1191978.5862801976,-7473.92922855216,-1651.2468473440404,-57.892821639715294,0.0,-0.0010920030576795385,0.0
80,40.0,-1475268.7492167456,6604032.610503061,1191949.273699646,-7473.022823870057,-1655.3043630244836,-58.62515492052284,0.0,-0.0010920040792455718,0.0
81,40.5,-1479004.8066612093,6603202.92973369,1191919.5949616348,-7472.114124009336,-1659.361367815471,-59.35746976205767,0.0,-0.0010920051008111737,0.0
